rating,genres,description,title,imdb_id,director,length,number_of_rating,year,img,weighted_rating
5.6,Comedy,"A man wins a lot of money, from your dead father.",Um Suburbano Sortudo,/title/tt5529392/,Roberto Santucci,100 mins.,15,2016,"http://ia.media-imdb.com/images/M/MV5BZTM2OWEwNWMtZjcxMS00ZTA4LTg0NmUtNGZkZGVmNDk1MjMzXkEyXkFqcGdeQXVyNDczMjU4Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg",3.37905
5,Drama,A couple of Italo-American journalists go missing during their work assignment in Romania.,Kidnapped in Romania,/title/tt3849370/,Carlo Fusco,,10,2016,"http://ia.media-imdb.com/images/M/MV5BMjIwMjc3OTE3MF5BMl5BanBnXkFtZTgwMTU0ODUzNzE@._V1_UY268_CR2,0,182,268_AL_.jpg",3.37895
6.5,Comedy,"Nuria is a young girl with a good life, a boyfriend to marry him and a parents who love her, but a problem: she still is married with Jorge...",We Need to Talk,/title/tt4699534/,David Serrano,91 mins.,69,2016,"http://ia.media-imdb.com/images/M/MV5BNTc0NjEzMzctMTcxZC00MjcwLTg2OGItYmU3YmIxOGU4MzFjXkEyXkFqcGdeQXVyMTY5MDE5NA@@._V1_UY268_CR2,0,182,268_AL_.jpg",3.37885
6.6,"Biography,Drama,Sport","The story of three Russian Olympic champions. Ordinary people, who have become the pride of their family and country, and made history of world sports.",Chempiony: Bystree. Vyshe. Silnee,/title/tt5198844/,Artyom Aksenenko,100 mins.,115,2016,"http://ia.media-imdb.com/images/M/MV5BNWYyZDgyZDItNGU5NC00ZGEzLWIxYjEtNDAxOGE1MmViYWRjXkEyXkFqcGdeQXVyNjMwOTA1MDM@._V1_UY268_CR3,0,182,268_AL_.jpg",3.37865
6.6,Comedy,"Two corrupt cops in New Mexico set out to blackmail and frame every criminal unfortunate enough to cross their path. Things take a sinister turn, however, when they try to intimidate someone who is more dangerous than they are. Or is he?",War on Everyone,/title/tt3708886/,John Michael McDonagh,98 mins.,117,2016,"http://ia.media-imdb.com/images/M/MV5BMTM1NGY0YzgtM2U5ZS00NjFkLThiOWItZWRmY2I5NzZlZjY5XkEyXkFqcGdeQXVyMjUwNjgxMDM@._V1_UY268_CR2,0,182,268_AL_.jpg",3.37855
6.2,Sci-Fi,"Vira is a mad genius who is deeply love struck on Anaya. Faced with utter rejection from the love of his life, he creates a breakthrough invention that will cure his loneliness.",Phuntroo,/title/tt5494840/,Sujay Dahake,142 mins.,33,2016,"http://ia.media-imdb.com/images/M/MV5BM2I5N2EzMzktODhhMi00ZDJiLTk0OTQtMmQzOTk4OGNmYzQ0XkEyXkFqcGdeQXVyNjU4MDA5MjI@._V1_UY268_CR147,0,182,268_AL_.jpg",3.37855
4.7,"Action,Drama",Nayyappudai is about a man who joins the army and comes back to the his village after retiring as an officer. He faces an incident that challenges him and changes things forever.,Nayyapudai,/title/tt5500400/,Vijaya Kiran,,9,2016,Not Available,3.37845
5.2,"Comedy,Horror","EeBee the Evil Bong is back. And she's stoner - er - stronger than ever. With Larnell, Sarah Leigh, Rabbit...",Evil Bong: High 5,/title/tt4933472/,Charles Band,,12,2016,"http://ia.media-imdb.com/images/M/MV5BMTEzNzcyMjM1NzleQTJeQWpwZ15BbWU4MDcxODI0NTcx._V1_UY268_CR5,0,182,268_AL_.jpg",3.3784
5.3,"Action,Drama",The film is about how a good for nothing young man is transformed into a boxing champion by the power of true love.,Tuntari,/title/tt5539498/,Kumar Nagendra,124 mins.,13,2016,"http://ia.media-imdb.com/images/M/MV5BZDUxZTQ3NDItYWQ5ZS00NmRhLTk4YmUtNzRmOTQxYTVkNWFjXkEyXkFqcGdeQXVyNTU1NTgzNTk@._V1_UY268_CR4,0,182,268_AL_.jpg",3.37825
6.5,Comedy,"It seems simple: an egg + sperm = one embryo. But if your sperm is ""few, vague and abnormal"" and your woman is premenopausal at age 37, things start to get complicated.",Embarazados,/title/tt3952900/,Juana Macías,100 mins.,75,2016,"http://ia.media-imdb.com/images/M/MV5BMGQwYzJlNjktODllMC00OWFlLTk3OGEtYzlhNjlhOGZlNzE5XkEyXkFqcGdeQXVyODE1NzU5Nw@@._V1_UY268_CR3,0,182,268_AL_.jpg",3.3781
